238,271,
131,467,
195,157,
175,40,
1735,811,
1100,809,
1733,246,
1405,234,
126,121,
173,1126,
571,190,
1307,348,
1058,1289,
1276,1474,
181,228,
151,1519,
1103,350,
1685,166,
237,176,
663,467,
125,1735,
234,126,
195,157,
1100,809,
190,175,
1405,1307,
271,1733,
228,811,
1126,246,
238,1289,
1685,131,
1276,40,
173,121,
1103,571,
125,1519,
181,237,
350,348,
1058,151,
663,1474,
166,1405,
176,809,
157,190,
1289,271,
234,1126,
1735,467,
1685,1307,
228,121,
1100,238,
1519,175,
1276,237,
126,173,
350,131,
181,1733,
811,663,
1058,195,
1103,246,
176,40,
348,1474,
125,571,
166,151,
1405,467,
1289,1685,
1100,157,
1519,234,
190,1735,
228,173,
350,809,
237,1733,
238,1276,
1058,126,
811,1103,
1307,131,
348,271,
176,121,
181,175,
151,663,
246,40,
571,1126,
1474,125,
195,166,
173,1733,
